"File","Time","WaterQ","WaterTemp","pH","DO","C","Turb","AmmoniaN","TP","TN","COD","InstanF","CumF","IntervalF","NitrateN","Rainfall","FlowR","WindD","SolarR","SoilTemp","SoilM","MeteoH","MeteoTemp","WindS"
"10_0.xls",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"11_0.xls",1,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"12_0.xls",1,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"13_0.xls",1,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"14_0_1.xls",1,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
"14_0_2.xls",1,0.5,0,0,0,0,0,0.5,0.5,0,0.5,1,1,1,0.5,0,0,0,0,0,0,0,0,0
"14_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"15_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"16_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"17_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0
"18_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0
"19_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"20_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0
"21_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0
"22_0.xls",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0
"3_0.xls",1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0,0.5,0,0,0,0,0,0,0
"4_0.xls",1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0.5,0,1,1,1,0.5,0.5,1,1
"5_0.xls",1,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0
"6_0.xls",1,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"7_0.xls",1,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"8_0.xls",1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0,0,0,0,0,0,0,0,0
